작성자,제목,요약내용
카샤,세부 자유여행 준비물 일정 환전 유심,세부 자유여행 준비물 일정 환전 유심 이번에 몽골 여행 준비하면서 알았다.... 필리핀은 얼마나 준비할 게 없는지... 얼마나 쉽게 갈 수 있는 곳인지... 흑흑흑.... 더운 나라라서 옷도 가볍고 따로 비자도 필요없고 무엇보다도 물놀이 좋아하는 사람이면 물놀이 용품만 잘 챙겨도 무리없이 잘 놀고올...
옴디텍,(스압) 후쿠오카 여행 - 上,"여행을 마치고 한달 간 좀 바쁜 일 있어서 리뷰를 늦게 써서 죄송.. 일정은 3월 4일 ~ 7일 로 3박 4일, 홋카이도 이후 1년 반만에 또 가는 일본 여행으로, 비용은 75만원 짤 포함 사진 52장으로 간단히 보자면.. 인천국제공항, 여행 첫날인데도 오후 3시 비행기. 비가 와서 하늘이 좀 흐린 공항 풍경. 5시..."
Kimi,스위스 여행 총정리 코스 날씨 꿀팁 비용,스위스 여행 총정리 코스 날씨 꿀팁 비용 유럽 많은 국가들 중에서도 가장 풍경이 아름다워 여행이 끝나도 오랫동안 기억에 많이 남고 여전히 그리운 스위스에요. 오늘 포스팅에서는 스위스 여행 준비하는 분들을 위해서 제가 직접 다녀왔던 경험을 바탕으로 간단히 스위스 여행 총정리...
드보라,홋카이도 모녀 여행 - 마지막 편,▼ 짐을 찾고 나서 주차대행시켜 두었던 차를 찾아 딸을 데려다준 다음에 집으로 돌아옴으로써 4박 5일간의 홋카이도 모녀 여행은 막을 내렸다. 딸 덕분에 아주 호강하며 지냈던 시간이었다. ----------------------------------------------------------------------------------------------------------------------- 이번 여행에서 산...
장미여사,베트남 나트랑 가족여행,베트남 나트랑 가족여행 베트남으로 떠난 사돈지간의 두번째 해외여행 시간에 쫓기듯 돌아 다니는 패키지여행이 아니라서 우리맘대로 실컷 놀구 실컷 먹고 실컷 돌아 다니는 나트랑여행이 였다 리조트에서 하루종일 놀아도 싫지 않았고 놀다가 피곤하면 들어가 쉬고 그야말로 리조트에서는 천국이...
로즈,유럽 가족여행 자유여행 추천 코스,"요즘은 패키지보다 유럽 자유여행이 대세잖아요. 가족여행도 예외는 아닙니다. 저도 올 해 파리를 중심으로 계획을 잡고 있어요 :) ""에펠탑도 보고 로마 콜로세움도 다녀왔어"" 이 정도로 점만 찍고 오는게 아니라 함께하는 시간과 기회를 조금 더 가치있게 보내는게 중요하니까요. 각자의..."
저스아로민,보홀 가족여행 단체 숙소 독채 풀빌라 추천,"& & 이번 보홀 첫 가족여행은 온 가족이 함께하는 특별한 시간이었는데요, 특히 저희는 12명 대가족이 움직이다 보니 가족여행 숙소 선정에 심혈을 기울일 수밖에 없었어요. 검색 신동 발휘한 끝에 블로그에서 뚝딱투어 발견!! 최대 16명 입실이 가능한 넓고 쾌적한 공간, 프라이빗 수영장, 편리한..."
츄킴,괌 여행 필수템 올텔 유심 8박 9일 후기,"#괌유심 #괌여행 괌 여행을 준비하면서 중요한 것 중 하나가 바로 해외유심이었어요. 사실 해외에서 인터넷을 쓸 일이 많아졌잖아요? 저는 여행 중에도 필요한 정보들을 쉽게 찾고, 한국과의 연락도 놓치지 않기 위해 해외유심을 준비했어요. 그런데 이게 정말 큰 도움이 됐답니다! 우선, 좋았던 점은..."
배카,해외여행 유심 에어알로 airalo 이심,해외여행 갈때마다 현지 유심 따로 구매해서 핸드폰 옆구리에 뾰족한걸로 찔러 직접 교체하고 그랬었는데요? 그 과정이 번거롭고 귀찮아서 요즘은 해외로밍으로만 썼었는데.. 세상 참 좋아졌다✨ 앱 하나만 설치하면 전세계에서 사용가능한 eSIM 이심을 이제 알았어요 해외여행 준비물...
날아라 마녀씨,유럽 여행 코스 경비 서유럽여행 루트,"유럽 여행 코스 경비 서유럽여행 루트 이탈리아 프랑스 글, 사진 © 마녀씨 방문할 때마다 내가 살아있음을 한 번 더 느낄 수 있는 서유럽여행. 다녀올 때마다 역시 오길 잘했어! 라고 생각 드는 곳인 것 같아요. 오늘은 그중에서도 프랑스와 이탈리아의 대표적인 도시들을 소개해 볼게요! 1...."
권자매톡,싱가포르 3박5일 패키지여행 코스,"작지만 볼거리가 많은 여행지 싱가포르 현대적인 도시 풍경과 멋진 쇼핑장소들 때문에 매년 수많은 관광객이 방문하고 있어요. 싱가포르 패키지여행 코스 후기 내돈내산 여행후기 패키지여행은 핵심 명소 위주로 효율적으로 다닐 수 있어 코로나 이후, 물가 상승에 많은 분들이 찾고 있다고..."
동네노는언니,주름개선화장품 피부 노화방지 가성비 甲,제가 오늘 피부 탄력을 위해 사용하고 있는 주름개선화장품을 소개해드리려고 해요! 30대 초반까지 괜찮았지만.. 어느샌가부터 확 쳐지는 기분이... 주름개선화장품을 썼을 때 그나마 조금 전체적으로 케어할 수 있다고 해서 쓰기 시작했어요! 이렇게 관리를 시작한지 약 1년? 정도 되어갔을 때 진짜...
왕건강,고혼진 화장품 가격 기미크림 에센스 사용 후기! (+정품),"고혼진 화장품 가격 기미크림 에센스 사용 후기! (+정품) 고혼진 가격 이벤트 혜택 알아보기 고혼진 가격 효능 공식 홈페이지 상담 받기 몇 년 전... 기미크림을 포함한 고혼진 화장품 세트를 주문한 후, 대략 일주일 만에 배송을 받았는데, 운이 좋으면 2~3일 내에 도착하기도 했었어요. 사실 고혼진..."
배티,고혼진 기미크림 화장품 가격 내돈내산 사용 후기!,"사실 고혼진 화장품은 광고와 리뷰에서 많이 접했었고, 무엇보다 어머니께서 관심을 보이셔서 유심히 살펴보고 있던 중이었거든요. 게다가 어머니의 지인분들도 이 제품을 사용하고 피부가 급격히 좋아졌다고 칭찬을 아끼지 않으셔서 점점 더 궁금증이 커지던 상황이었고 결국 고혼진 화장품..."
릴리,주름개선크림 모공 줄이는법 안티에이징 화장품 내돈내산,화장품 없어도 좀 탱글탱글했는데 이제 관리가 필요해졌어요ㅠㅠ 그래서 열심히 알아보다가 30대부터 주름개선크림 콜라겐 으로 모공 줄이는법 시작하게 되었어요! 이 때부터 열심히 찾아봤어요. 그러다가 주름개선크림 하나 샀고 지금 나름 탱글탱글한 피부 유지를 도와주는 안티에이징 화장품이...
므가따,주름개선 화장품 모공탄력 꽉 잡아준 인생 크림,"화장품들을 써볼 수 있었는데요, 기대를 엄청나게 한 것 치고는 가격에 비례하게 제품이 좋은건 아니더라고요~ 안티에이징에 좋다고 해서 발라보면... ㅎ 그래서 저에게 잘 맞고 제대로된 케어를 해줄 주름개선 화장품을 다방면으로 찾아보았는데요, 다행히 딱 좋은걸 찾았답니다! 어떤 느낌인지..."
HODU,청소년 여드름 화장품 좁쌀 뿌리뽑기 성공,"ㅋㅋ 동생이라서 이번에 청소년 여드름 화장품을 제가 직접 마련해주었답니다 ! ㅎㅎ 엄마는 잘 모르 신다고 하셔서..ㅎ 저보고 찾아보라고 해서... 여드름 화장품은 퓨어 플라워 클래리파잉 스킨, 로션 세트 인데요~ 이렇게 2종으로 딱 나와있더라구요 ㅋㅋ 스킨 로션은 각각의 역할이 명확해서 ㅎ..."
돌체라떼,고혼진 화장품 가격 기미크림 내돈내산 완벽정리! (+본사 구매링크),고혼진 화장품 가격 기미크림 내돈내산 완벽정리! 이 제품은 얼마 전부터 SNS에서 입소문이 나면서 관심을 받은 제품 중의 하나인데요 이 제품에... 고혼진 화장품 가격을 살펴보고 세트로 구매하니까 삼일 정도 지난 후에 제품을 받을 수 있었는데요 저는 조금 빨리 받았고 다른 분들의 이야기를...
치토,다이소 화장품 추천 다이소 에뛰드 파우더 하울,에뛰드 화장품이 들어와 있다니..?! 제가 중학생 때부터 대학생 때까지 찐으로 애정하던 화장품 브랜드인데 요즘 다시 핫해지는 거 같아서 괜히 반갑고 기분 좋더라고요ㅎㅎ 화장품 퀄리티는 원래 탄탄하니 말할 것도 없고 저렴하기까지 하니까 안 사볼 이유가 없죠! 그래서 바로 장바구니에 쏙...
힙찌,PDRN 앰플 안티에이징 세럼 화장품 리쥬톡샷,PDRN 앰플 안티에이징 세럼 화장품 세르본 리쥬톡샷 : 거짓없이 2-3일만에 개인적으론 피부결부터 변화됨을 느낀 제품 (사람마다 다를수 있음 주의)... 그래서 보통 찾는게 보톡스나 PDRN 앰플 안티에이징 리쥬란 이라고 한다 그만큼 요즘 핫하고 인기있는 안티에이징 세럼 화장품 성분이 바로 PDRN...
초모랑마,맞춤형화장품조제관리사 합격의 지름길,맞춤형화장품조제관리사 합격의 지름길 맞춤형화장품조제관리사 합격의 지름길 맞춤형화장품조제관리사 합격의 지름길 맞춤형화장품조제관리사 합격의 지름길 맞춤형화장품조제관리사 합격의 지름길 오늘은 MBC아카데미뷰티학원의 도움으로 맞춤형화장품조제관리사 자격증을 빠르게 취득한...
자두로그,기내반입 화장품 용량 ok! 대용량 선크림 추천,"오랫동안 꿈만 꾸던 하와이에 가게 됐답니다ㅎㅎ 근데 여행 준비하면서 느낀 건데 기내반입 화장품 챙기는 게 은근 까다롭더라구요ㅠㅠ 특히 대용량 선크림이나 기초 제품은 100ml 용량 제한 때문에 항상 신경 쓰이잖아요,, 제가 원래 쓰던 선블록은 크게 한 통으로 되어 있어서 기내반입 화장품으로..."
박가,화장품책임판매업 등록조건 온라인으로 쉽게 취득하자!,안녕하세요 화장품책임판매업 등록조건을 온라인으로 쉽게 취득한 30대 사업가 오O주라고 합니다 ^^ 저는 오랫동안 일을 하면서 이번에 자사... 화장품책임판매업 등록조건은? 우선 절차를 하나하나 정리해 보니 식약처에서 관리자로 승인받아야 정식으로 판매 등록을 할 수 있었죠 신청 방법은...
동네노는언니,40대 기초화장품 수딩젤 영양 크림 추천,기초화장품으로 왜 쓰는지 알겠더라고요 수딩젤과 영양 크림 추천하는 이유는 안티에이징 잘 해주면서 피지선을 따로 자극할 성분이 없어서... 기초화장품으로 추천하고 싶었어요 해서 찾아보니 온라인에서 이 세트가 이미 유명한 제품이었던거예요! 전 화장품을 잘 알아볼 줄도 모르고 솔직히...
왕건강,고혼진 화장품 효능 앰플 영양크림 사용후기 (+내돈내산 팁),"고혼진 화장품 효능 앰플 영양크림 사용후기 (+내돈내산 팁) 고혼진 가격 효과 공식 홈페이지 상담 바로가기 고혼진 가격 공홈 상담 알아보기!... 또한, 고혼진 화장품 효능과 구매처 정보도 공유할 예정이니, 이 제품에 관심 있는 분들은 이번 후기를 참고하시면 좋겠어요. 저는 원래 얼굴에 홍조가..."
파피옹,장인어른 생신선물 화장품 어때요?,"바로 이 3종 패키지 화장품이요! 생각해보니까 엄마 화장품 사드릴때 보면은 아빠가 힐끔힐끔 바라보곤 하시더라구요. 그러면서 ""크흠, 크흠. 그건 뭐냐?""하고 물어보실 때가 종종 있었는데 그냥 뭔지 궁금해서 그러신 줄 알았거든요? 그런데 어느날부터인가 ""요즘들어서 건조해서 그런가? 피부가 영..."
배티,다이소 추천템 윤기나는 헤어 꿀템 화장품 추천,쓴지 얼마되지 않아 변화된 머리카락을 마주하니 다이소 화장품 추천 할 수 밖에 없었답니다. 또 여기서 멈추지 않고 저의 모발을 위해 사용해본 것은 다음 다이소 화장품 추천 꿀템인 앰플 에센스였는데요. 소용량이어서 뭐 얼마나 효과가 있겠나 싶기도 했는데 위의 제품들하고 어깨를 나란히 할 만...
야세,일본 후쿠오카 돈키호테 할인쿠폰 쇼핑리스트 화장품 추천템,"1층은 화장품들이 쭉 나열되어 있었고, 2층에 의약품이나 먹거리 등이 있었다. 돈키호테 쇼핑리스트 가장 먼저 1층 화장품 코너에 위치한 상품들을 둘러보았다. 화장품은 각 브랜드마다 제품들이 모여있어서 찾기가 쉬웠다. 1/ KATE 3D 디자이닝 아이브로우 수많은 아이브로우 제품을 써봤지만 여태..."
라미,우르오스 올인원 올리브영 남자화장품 추천,""" 내 돈 내 산 "" 안녕하세요 여러부운~ 가끔씩 남자분들이 쪽지로 남자 화장품 추천템 알려달라고 하시더라고욧?ㅋㅋ 역시 요새는 남자들도 관리하는 시대라 그런지 남자분들도 관심이 많으신거 같아요! 그래서 오늘은 저희 남동생이 쓰는 기초화장품들을 추천해드릴까 해욧ㅋㅋ 원래 관리 1도..."
솔잎향기,화장품책임판매업 관리자 등록조건 쉽게 준비했어요,"최근 화장품책임판매업 관리자 등록조건을 갖춘 30대 임OO이라고 합니다. 원래는 다른 분야에서 일하고 있었는데, 예전부터 기초 제품과 뷰티에... 신청서나 품질 및 안전 관리 기준서 같은 서류들은 식약처를 통해 제출하면 되는데 화장품책임판매업 관리자 등록은 조건이 따로 있더라고요. 의사나..."
프프밍log,미백화장품 효과본 화이트닝크림,"그래서 늘 미백화장품에 신경을 많이 쓰는 편인데요. 겨울 동안에는 비교적 피부 톤이 균일하게 유지되었는데, 요즘 들어 거울을 보면 확실히... 일반적인 보습 크림과는 다르게 미백 효과를 공식적으로 인증받은 미백화장품이라서 사용하면서 점점 착색이 옅어지는 걸 기대할 수 있어요. 저는 평소에..."
서나,매트릭실 크림 주름개선 기능성화장품으로 안티에이징,예민해지면 가장 문제가 조금 더 빨리 나이드는 것 같은 느낌이 든다는 것인데 그래서 주름개선 기능성화장품으로 안티에이징 케어... 기능성화장품인 것은 이전과 동일하지만 이번에 리뉴얼 되면서 조금 더 성분적으로 강화되었다고 하는데요 +_+ 매트릭실 성분 자체도 조금 강화된데다가...
이종현,전기차 충전기 설치비용 합리적인 시공 후기,전기차의 인기도 상당히 높아진 상태이지만 아직 충전시설과 관련해서 아쉬움을 느끼는 차주들이 많습니다 첫 차로 친환경 자동차를 구입하려는 분들도 고민이 큰 부분일텐데요. 그래서 오늘 공용 시설을 이용하는 대신 가정과 직장 내에 전기차충전기시공을 하여 조금 더 간편하게 배터리를...
nomad,현대 캐스퍼 전기차 가격 장기렌트 보조금 지원 받으세요!,바로 현대 캐스퍼 전기차 입니다. 작고 귀여운 크기이다보니 여성분들이 가장 많이 선호하시구요. 남성분들도 출퇴근용이나 영업용으로 잘 타고... 반면 현대 캐스퍼 전기차의 경우 일반 고객님들이 데일리카로 뽑으시는 경향이 있습니다. 그래서 사실상 둘이 비교대상이라 하기에는 애매한거죠!...
픽플러스,전기차 폐차 방법 및 절차,"PICKPLUS ARC 전기차 폐차 방법 및 절차 전기차는 친환경 기술의 집약체로, 탄소 배출을 줄이고 연료비를 절감할 수 있어 많은 사랑을 받아왔습니다. 하지만 기술이 아무리 발전해도 모든 차량에는 수명의 끝이 존재합니다. 사고, 부품 노후, 배터리 성능 저하 등 여러 이유로 더 이상 운행이 어려워지는..."
new tech,전기차 보조금 알아보기,"전기차, 사고 싶은데… 보조금도 줄어들고 어떡하지? 여러분 요즘 많이 고르시죠? 기름값도 올라가고 환경 생각도 하고... 그런데 전기차 알아보니 가격이 너무 부담돼서 망설이게 되더라고요. 저도 살까 말까 고민 많이 했어요. 특히 2025년부터 전기차 보조금에 변화가 생긴다고 해서 더 헷갈리는..."
츄츄,전기차 충전 할인 신용카드 1순위 삼성카드 ev id plug in 추천 이유,전기차 충전 할인 신용카드 1순위 삼성카드 ev id plug in 추천 이유 안녕하세요 오늘은 이브이 차량 소지한 분들을 위한 최고의 할인형 소개 해드리... 이나 전기차 충전카드 사용 하면서 혜택 받을수 있는지 자세하게 설명 해드려 볼께요 일단 전월 실적이 가장 중요 합니다 실적에 따라서 할인 받게...
zap블,전기차 전기요금 단점 (BMW ix3 3년만에 기변 고민중),오늘은 전기차를 타기 시작한지 딱 3년을 꽉 채운 날이기도한데요. 사실 작년에 인천에서 큰 화재가 발생했을 때 기변을 해보려했으나 사정이 여의치 않아서 그냥 타기로 결심을 했었습니다. 그리고 전기차의 쥐약이라고 볼 수 있는 겨울을 지나 봄이 되어서 다시금 전비(내연기관차량에서 말하는...
슈가트리,전기차 충전 할인 신용카드 발급 no.1 삼성카드 ev id plug in,전기차 충전 할인 신용카드 발급 no.1 삼성카드 ev id plug in 안녕하세요 오늘은 요즘 날이 갈수록 늘어 나고 있는 이브이 차량에 대한 모든 혜택이... 있으며 전기차 충전 할인 신용카드 모든 혜택에 대해서 최대로 받으면서 이용 하실수가 있습니다 안그래도 저렴한 주유 금액에 대해 더욱 저렴 하게...
테크닉,2025 전기차 국가 보조금 달라진 점 총정리,"2025 전기차 국가 보조금 총정리! 전기차를, 구매를 원하시는 분이라면 전기차 국가 보조금이 중요한데요. 2025년 개편된 내용을 인지하시고 구매를 진행하시는 것이 좋습니다. 특히 올해부터 차량의 성능과 주행거리 그리고 구매자의 조건에 따라 추가 혜택도 주어지다가 보니 다양하게..."
이타인,포르쉐 : 타이칸 터보S 전기차 시승기,포르쉐의 첫 전기차 모델 - 포르쉐가 선보인 타이칸 터보S는 전기차 시장의 한계를 다시 정의하는 모델입니다. - 럭셔리 스포츠 세단의 감성과 전동화 기술이 결합되어 단순한 주행 성능을 넘어 운전자와의 교감을 중시합니다. 2억 중반대에 달하는 가격대로 많은 운전자들의 드림카로 꼽히고...
토깽이,벤츠 지바겐 전기차 확보 즉시출고 가능!,지바겐 전기차 작년 연말쯤에 국내 에디션원이 먼저 출시가 되면서 현재는 무광 블루만 남아있는 상태입니다 하지만 일반 모델로 슬슬 출시... 지바겐 전기차 그럼에도 선택하는 이유는 유니크한 디자인으로 명성이 높기 때문에 많이 선택하는 이유입니다 조건의 경우 각 모터사마다 크게 차이가...
리스맨,포르쉐 마칸 ev 전기차 가격 할인 즉출입니다 !,오늘 소개할 차량은 최근 새로 나온 포르쉐 마칸 ev 전기차 입니다. 포르쉐는 일반 수입차들과 달리 인디오더 방식으로 주문을 받기 때문에 출고기간이 상당히 오래 걸리는데요! 특히 전기차의 경우 부품이 더 많이 들어가기 때문에 제작기간이 상당하죠! 하지만 이번에 많은 스탁 확보로 포르쉐...
몽글몽글 햇살,완속충전기 전기차 인프라 공용만이 답일까,전기차 인프라가 마련되는 것이 아닐까. 싶은데요 아직까지 공용 충전소를 이용하는 데 여러 가지 고충이 따르기 때문입니다. 매년 늘어나는 전기차와 함께 충전 시설도 많이 생기고 있다고 하지만 지역마다 큰 차이가 있기도 하고 공용 기기 특성상. 케이블 고장이나 관리가 미흡한 문제 등도....
노을바다,전기차 220v 완속충전방식 주택 빌라 활용에 탁월,"""업체로 부터 제품을 제공받아 체험후 솔직하게 작성된 글입니다"" 이제 공용 주차장을 이용하다 보면 전기차를 곳곳에서 볼 수 있고 택시나 트럭... 여전히 전기차 운행에 고민을 가지는 사람들이 많은 것도 사실이죠. 그래서 공용 시설을 찾아다니는 대신 집이나 회사에서 직접 개인 완속충전을..."
대치박사맘,니로 토레스 레이 전기차 장기렌트 가격 비교 최선은?,니로 토레스 레이 전기차 장기렌트 가격 비교 최선은? 전기차에 대한 관심이 높아지면서 전기차 장기렌트 가격 비교하려는 소비자들이 늘어나고 있습니다. 전기차는 친환경적일 뿐만 아니라 연료비 절감 효과까지 기대할 수 있어 장기렌트를 고려하는 경우가 많습니다. 하지만 차량별로...
Train better,삼성카드 ev id plug in 전기차 충전 할인 신용카드 플러그인 추천,삼성카드 ev id plug in 전기차 충전 할인 신용카드 플러그인 추천 안녕하세요 요즘 가장 많이 뜨고 있고 여러 사람들이 할인 많이 되는걸 발급 하려고... 해드리면 전기차 충전카드로 사용 하면서 주유비 뿐만 아니라 차량 유지 하는데 있어 사용 하게 되는 금액들 그리고 일상 생활 업종에 대해서도...
이종현,전기차 가정용 충전기 7kw 편한 운행의 지름길,"글입니다"" 전기차의 특징이나 이미지를 떠올려보면. 장거리보다 단거리 위주로 좋은 자동차라는 인식이 들곤 하는데요 아직 차량 수에 비해. 충전 인프라가 한정되어 있는 상태이다보니 이런 생각이 들 수 밖에 없는 것 같습니다. 친환경적인 운행과 경제적인 유지비 같은. 전기차만의 매력이 있긴..."
O1Oㅡ4756ㅡ3838,아이오닉6 장기렌트 전기차 보조금 받으세요,기차 인프라가 점점 더 발전하고 있으며 환경과 연비를 고려하는 사람들이 늘어나면서 전기차에 대한 수요.가 급격히 증가하고 있어요. 최근에 출시되는 차량들 중 대부분은 전기 라인을 쉽게 찾아볼 수 있죠. 우리나라에서 전기차하면 많은 사람들이 떠올리는 모델이 바로 아이오닉인데요....
tire party,기아EV9 전기차 전용 한국 타이어 아이온 에보 AS 285 45 21 교환,"기아EV9 전기차 전용 한국 타이어 아이온 에보 AS 285 45 21 교환 안녕하세요 wheel1988입니다, 타이어 교체 시기가 됐을때 장착점은 어떻게... 오늘 포스팅에서는 기아EV9 전기차 전용 한 국 타이어 교환기를 소개해드려 보겠습니다. 오늘 작업하는 EV9 차량은 3개월만에 다시 방문하게 됐는데요..."
한국남부발전,전기차 폐배터리의 두 번째 삶: 재사용과 재활용으로 탄소중립 실현하기,"요즘 거리에서 전기차를 자주 보게 되셨죠? 전기차는 친환경의 상징이자, 우리가 지향하는 탄소중립 사회의 핵심 교통수단입니다. 하지만 전기차가 늘어날수록 놓쳐선 안 될 문제도 함께 따라오는데요! 바로 전기차 배터리의 끝, 폐배터리 처리 문제입니다. 오늘은 이러한 전기차와..."
센소파트코리아,"배터리팩 검사, 전기차 품질의 기준을 바꾸다","전기차 시장은 최근 몇 년 사이 그야말로 폭발적인 성장세를 이어가고 있습니다. 내연기관 자동차를 대체하고 있는 이 새로운 모빌리티 트렌드는... 특히, 그 중심에는 ‘배터리팩’이라는 핵심 부품이 존재하며, 이를 구성하는 각종 공정들이 전기차 품질을 좌우하고 있다고 해도 과언이 아닙니다...."
돈독한 스텔라,"중국 주식 ETF 추천, 지수 기술주 전기차 뭘사야하지?","중국 ETF 추천 홍콩 주식, 지수 기술주 전기차 뭘사야하지? 반갑습니다. 돈독한 스텔라입니다. 요즘 S&P500과 나스닥 시장 분위기가 좋지 않은... 특히 전기차, IT 테크 분야에서는 말이죠. 그럼 중국 ETF 추천 시작하겠습니다! CSI300 VS 항셍지수(HSI) 무엇이 다를까? 중국은 크게 본토와..."
