Author,Comment
@Queenbee-s8g,yes Jenie tell them haters . so glad she didn't let them haters bring her down
@Aykzko,She’s mastered the art of performing so no one actually can do it LIKE JENNIE
@simplelife1221,Jennie just roasted the haters with her master peice LIKE JENNIE️
@rupurahima7231,"""They can't deal with me, cause I'm priceless"" ️‍️‍"
@S_blackpink-s2l,That's song was so amazing. Dance and rep bombaaaaaaa
@장준호-f3p,찢었다 제니야 개멋있다
@황연아0,Jennie ate and left no crumbs..!!
@ItsJennix,"The Coachella is going to be fire. Jennie songs are no skip. Their song are flawless.  She doesn't follow trends, she makes them."
@AntaraRahmanJeba-fm4xu,"I really like this  ""Jennie,Jennie,Jennie "" part."
@Cringeycup,"Brooo, women literally made people to sing her name 
Her Aura ️️️"
@nangnang5066,Ateeeee JENNIEEE!!
@moyaigun8,제니 못하는게 뭐야 춤도 ㅈㄴ잘춰
@AdrianTamang-rz6jw,"When i hear this song,now i knew yuh r Jennie."
@Kpop_fans_Official,Jennie know she always slaying
@mewi789,"She got the looks the voice,the skilss ,the fire just astonishingly rocking"
@kamwadathrangrabon4529,Yes Queen Jennie keep feeding us with more live performance
@AkhlaqAhmed-k4d,"Jennie can do anything, ACE"
@AnonymousBeauty01,Why the hell do I absolutely loveeee the choreo LIKE DAMNNNN
@XxYellowGamerxX,"She absolutely ATE!? Jennie ate it, washed the dishes, and cleaned the table!!! ️"
@lilymedding9413,Her expressions my god
@Angelica-yi3qf,She's knows she SLAYED
@shyx11e,can we appreciate the camera man?? those shots and cam movements are sooo
@glorymichael3129,"0:57 the swag , the visuals"
@Black_Queen4455,Our girl is serving a masterpiece again! The stage presence is so cool ️‍
@rickynguyen5641,Congrats on 21m!!!!!
@RubyUtKieu,"Jenchella is going to be lit! RUBY album are not skippable, each has it own meaning. It's flawless.  We gonna rock with this JENNIE!"
@아지강-k2x,걍 모든게 완벽함 노래 랩 춤 이런거 뿐만 아니리 어깨선 허리선 표정 제스쳐.. 뭐 빠지는게 없음
@ricardooweber,"MY GOD!!! What a perfect dance, choreo, EVERYTHING!! The girls is coming with everything!!!!!"
@roshnishaw7477,Literally amazingg
@Carrots4thewin15,"Man, since she left YG, I love her so much. I love her artistic view  They can never ever be like JENNIE"
@Abcdef427,ARTIST OF THE YEAR
@thihuongngo2753,"She shows that her voice is not joke. Her vocal control when performing is amazing. Flashing lights, cool outfits, skilled dancers, grand stage, wow the best performance I've ever seen. And her rap, so satisfying!"
@소녀-girl,You ATE and SLAYED
@srschannelx,"Jennie's live performance of 'like JENNIE' is absolutely breathtaking! Her stage presence is magnetic, and the way she effortlessly blends her smooth vocals with her signature charisma is pure artistry. The minimalist setup lets her talent take center stage, and every moment feels authentic and powerful. This is Jennie at her best—confident, captivating, and completely unforgettable. A true queen of performance!"
